                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    130,                0.61125,                 0.3814,                0.96494,                0.83831,                0.77312,                0.82616,                0.55442,                 1.0169,                0.64258,                 1.2545,               0.003664,               0.003664,               0.003664
                    131,                0.61989,                0.38944,                 0.9677,                0.85581,                0.76474,                0.82776,                0.55579,                 1.0195,                 0.6491,                  1.264,              0.0036145,              0.0036145,              0.0036145
                    132,                0.61066,                0.38452,                0.96585,                0.87155,                0.75534,                0.83106,                0.55711,                 1.0201,                0.64551,                 1.2668,               0.003565,               0.003565,               0.003565
                    133,                0.61219,                0.37995,                0.96201,                0.86763,                0.75968,                0.83441,                0.55805,                 1.0147,                0.64374,                  1.262,              0.0035155,              0.0035155,              0.0035155
                    134,                0.60856,                0.38249,                0.96318,                0.83603,                0.78055,                 0.8309,                 0.5578,                 1.0129,                0.65244,                 1.2615,               0.003466,               0.003466,               0.003466
                    135,                0.60923,                0.37635,                0.96442,                0.87488,                0.74948,                0.82687,                0.55722,                 1.0114,                0.65244,                 1.2632,              0.0034165,              0.0034165,              0.0034165
                    136,                0.60698,                0.37387,                0.96376,                0.86138,                0.75658,                0.82538,                 0.5586,                 1.0098,                0.65061,                 1.2614,               0.003367,               0.003367,               0.003367
                    137,                0.59495,                0.36859,                 0.9532,                0.84913,                0.76395,                0.82773,                0.55673,                 1.0114,                0.65569,                 1.2646,              0.0033175,              0.0033175,              0.0033175
                    138,                0.59614,                 0.3671,                0.95938,                0.83519,                0.77709,                0.82647,                0.55658,                 1.0124,                0.65558,                 1.2661,               0.003268,               0.003268,               0.003268
                    139,                0.59908,                0.37225,                0.95856,                0.88006,                0.74493,                0.82766,                 0.5557,                 1.0128,                0.65539,                 1.2646,              0.0032185,              0.0032185,              0.0032185
                    140,                0.59654,                0.35945,                0.95249,                0.86857,                 0.7472,                0.82293,                0.55527,                 1.0173,                0.65983,                 1.2625,               0.003169,               0.003169,               0.003169
                    141,                0.59328,                0.36776,                0.95757,                0.85727,                 0.7556,                0.82533,                0.55796,                 1.0199,                 0.6579,                 1.2674,              0.0031195,              0.0031195,              0.0031195
                    142,                0.59486,                0.36966,                0.95631,                0.84586,                0.75624,                0.82295,                0.55518,                 1.0206,                0.65956,                 1.2731,                0.00307,                0.00307,                0.00307
                    143,                0.58093,                0.35889,                0.94925,                0.84061,                0.76095,                0.82009,                0.55166,                 1.0167,                0.65722,                 1.2747,              0.0030205,              0.0030205,              0.0030205
                    144,                0.58804,                0.36351,                0.95615,                0.81215,                0.77761,                0.82367,                0.55242,                 1.0201,                0.65605,                 1.2796,               0.002971,               0.002971,               0.002971
                    145,                0.57684,                0.35571,                0.94634,                0.85444,                0.75658,                0.82235,                0.55101,                 1.0202,                0.65701,                 1.2829,              0.0029215,              0.0029215,              0.0029215
                    146,                0.57483,                0.35979,                0.94696,                0.86155,                0.74913,                0.82297,                 0.5504,                 1.0256,                0.65859,                 1.2893,               0.002872,               0.002872,               0.002872
                    147,                0.57315,                0.35577,                0.94794,                0.86356,                0.75232,                0.82269,                0.54864,                 1.0253,                0.65879,                 1.2906,              0.0028225,              0.0028225,              0.0028225
                    148,                0.57848,                0.35957,                 0.9473,                0.82074,                0.78042,                0.82167,                0.54923,                 1.0248,                 0.6609,                 1.2884,               0.002773,               0.002773,               0.002773
                    149,                0.57592,                0.35765,                0.94775,                0.82815,                0.77621,                0.82212,                0.55078,                 1.0256,                0.66446,                 1.2896,              0.0027235,              0.0027235,              0.0027235
                    150,                0.57005,                0.35485,                0.94581,                0.87065,                0.74107,                0.81972,                0.55147,                 1.0256,                0.66739,                 1.2907,               0.002674,               0.002674,               0.002674
                    151,                0.56357,                0.35227,                0.94344,                0.86722,                0.74576,                 0.8146,                0.54967,                 1.0305,                0.66968,                 1.2957,              0.0026245,              0.0026245,              0.0026245
                    152,                0.56624,                 0.3551,                0.94138,                0.87067,                0.74498,                0.81232,                0.54953,                 1.0326,                0.66827,                 1.2984,               0.002575,               0.002575,               0.002575
                    153,                0.55836,                 0.3444,                0.93806,                0.86324,                0.74525,                0.81563,                0.55046,                 1.0357,                0.66561,                 1.3001,              0.0025255,              0.0025255,              0.0025255
                    154,                0.55855,                0.34918,                0.94212,                0.86382,                0.74004,                0.81508,                0.54809,                 1.0351,                0.66701,                 1.2992,               0.002476,               0.002476,               0.002476
                    155,                0.55002,                0.34088,                0.93702,                0.86232,                0.74373,                0.81631,                0.54815,                 1.0369,                0.66555,                  1.303,              0.0024265,              0.0024265,              0.0024265
                    156,                0.54939,                0.33974,                0.93695,                0.84834,                0.75108,                0.81755,                0.55045,                 1.0354,                0.66024,                 1.3028,               0.002377,               0.002377,               0.002377
